epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3348,1.97941,3.14771,1.9647,0.30609,0.24745,0.19544,0.06092,1.78972,15.1435,1.89551,0.000664141,0.000664141,0.000664141
2,144.513,2.05624,2.71628,2.0785,0.33695,0.25255,0.20471,0.07074,1.99588,8.14905,1.96485,0.00130446,0.00130446,0.00130446
3,212.99,2.04073,2.60018,2.08929,0.27747,0.24362,0.18086,0.05902,1.8528,7.0206,1.90389,0.00191837,0.00191837,0.00191837
4,278.508,2.02782,2.49704,2.06049,0.36626,0.35587,0.27471,0.0909,1.74231,13.7189,1.7735,0.0018812,0.0018812,0.0018812
5,337.474,1.99093,2.39322,2.02076,0.54636,0.41632,0.43947,0.16054,1.70618,5.22462,1.76326,0.0018416,0.0018416,0.0018416
6,400.371,1.93962,2.24609,1.98626,0.58736,0.45026,0.48787,0.19556,1.58651,7.132,1.58646,0.001802,0.001802,0.001802
7,460.534,1.9082,2.13837,1.94545,0.57332,0.44388,0.4458,0.16089,1.6172,4.66142,1.63053,0.0017624,0.0017624,0.0017624
8,519.974,1.87805,2.09694,1.92353,0.59014,0.44812,0.45987,0.18327,1.62804,4.81327,1.63527,0.0017228,0.0017228,0.0017228
9,579.894,1.85442,2.01973,1.88393,0.6443,0.46208,0.50818,0.1954,1.6301,4.51138,1.62299,0.0016832,0.0016832,0.0016832
10,640.639,1.83156,2.00807,1.8643,0.69432,0.52041,0.56877,0.24722,1.48142,3.01201,1.51287,0.0016436,0.0016436,0.0016436
11,701.804,1.79304,1.9048,1.84332,0.65119,0.51658,0.55365,0.23212,1.56612,3.29883,1.59174,0.001604,0.001604,0.001604
12,763.097,1.77317,1.87929,1.82904,0.6898,0.58163,0.62219,0.27457,1.4656,3.85641,1.51112,0.0015644,0.0015644,0.0015644
13,824.866,1.74739,1.84052,1.8244,0.76944,0.58801,0.67455,0.30354,1.50163,2.97615,1.5284,0.0015248,0.0015248,0.0015248
14,886.314,1.71859,1.77629,1.80722,0.68362,0.53742,0.611,0.26817,1.49593,4.72397,1.52904,0.0014852,0.0014852,0.0014852
15,947.39,1.70107,1.7953,1.79225,0.7657,0.60204,0.68628,0.32394,1.45561,2.46264,1.48873,0.0014456,0.0014456,0.0014456
16,1009.31,1.70012,1.70838,1.76408,0.73336,0.55779,0.63332,0.30424,1.43527,2.90945,1.50637,0.001406,0.001406,0.001406
17,1075.93,1.66542,1.66893,1.74107,0.72562,0.60381,0.67273,0.30197,1.47663,2.79136,1.50829,0.0013664,0.0013664,0.0013664
18,1140.74,1.64047,1.61001,1.71566,0.665,0.64158,0.64918,0.30538,1.49468,1.80473,1.50758,0.0013268,0.0013268,0.0013268
19,1204.68,1.64663,1.61673,1.73782,0.73734,0.65882,0.68854,0.31986,1.47296,3.17766,1.51357,0.0012872,0.0012872,0.0012872
